"RecType","LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS"
"CHANGED","13333-0","Cells.CD3+CD25+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13334-8","Cells.CD8+CD25+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13334-8","Cells.CD8+CD25+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13335-5","Cells.CD4+CD29+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13335-5","Cells.CD4+CD29+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13336-3","Cells.CD4+CD45RA+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13336-3","Cells.CD4+CD45RA+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13337-1","Cells.CD8+HLA-DR+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13337-1","Cells.CD8+HLA-DR+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13338-9","Cells.CD8+CD57+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13338-9","Cells.CD8+CD57+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13339-7","Cells.CD8+CD56+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13339-7","Cells.CD8+CD56+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13340-5","Cells.CD3+CD38+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13340-5","Cells.CD3+CD38+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13341-3","Cells.CD3+CD25+/100 cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"CHANGED","13341-3","Cells.CD3+CD25+/Cells","NFr","Pt","Tiss","Qn","","CELLMARK"
"BEFORE","13342-1","Cells.CD3+CD26+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13342-1","Cells.CD3+CD26+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13343-9","Cells.CD4+HLA-DR+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13343-9","Cells.CD4+HLA-DR+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13344-7","Cells.CD8+CD38+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13344-7","Cells.CD8+CD38+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13345-4","Cells.CD8+CD11b+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13345-4","Cells.CD8+CD11b+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13346-2","Cells.CD35/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13346-2","Cells.CD35/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13354-6","Neutrophils.band form/100 leukocytes","NFr","Pt","Body fld","Qn","Manual count","HEM/BC"
"CHANGED","13354-6","Neutrophils.band form/Leukocytes","NFr","Pt","Body fld","Qn","Manual count","HEM/BC"
"BEFORE","13355-3","Unspecified cells/100 leukocytes","NFr","Pt","Body fld","Qn","Manual count","HEM/BC"
"CHANGED","13355-3","Unspecified cells/Leukocytes","NFr","Pt","Body fld","Qn","Manual count","HEM/BC"
"BEFORE","13508-7","Hematocrit","VFr","Pt","CSF","Qn","Spun","HEM/BC"
"CHANGED","13508-7","Erythrocyte/Specimen Volume","VFr","Pt","CSF","Qn","Spun","HEM/BC"
"BEFORE","13516-0","Neutrophils/100 leukocytes","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"CHANGED","13516-0","Neutrophils/Leukocytes","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"BEFORE","13517-8","Lymphocytes.variant/100 leukocytes","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"CHANGED","13517-8","Lymphocytes.variant/Leukocytes","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"BEFORE","13518-6","Lymphocytes.variant/100 leukocytes","NFr","Pt","Body fld","Qn","Manual count","HEM/BC"
"CHANGED","13518-6","Lymphocytes.variant/Leukocytes","NFr","Pt","Body fld","Qn","Manual count","HEM/BC"
"BEFORE","13519-4","Basophils/100 leukocytes","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"CHANGED","13519-4","Basophils/Leukocytes","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"BEFORE","13521-0","Blasts/100 leukocytes","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"CHANGED","13521-0","Blasts/Leukocytes","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"BEFORE","13522-8","Blasts/100 leukocytes","NFr","Pt","Body fld","Qn","Manual count","HEM/BC"
"CHANGED","13522-8","Blasts/Leukocytes","NFr","Pt","Body fld","Qn","Manual count","HEM/BC"
"BEFORE","13523-6","Leukocytes other/100 leukocytes","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"CHANGED","13523-6","Leukocytes other/Leukocytes","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"BEFORE","13524-4","Leukocytes other/100 leukocytes","NFr","Pt","Body fld","Qn","Manual count","HEM/BC"
"CHANGED","13524-4","Leukocytes other/Leukocytes","NFr","Pt","Body fld","Qn","Manual count","HEM/BC"
"BEFORE","13525-1","Nonhematic cells/100 leukocytes","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"CHANGED","13525-1","Nonhematic cells/Leukocytes","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"BEFORE","13526-9","Nonhematic cells/100 leukocytes","NFr","Pt","Body fld","Qn","Manual count","HEM/BC"
"CHANGED","13526-9","Nonhematic cells/Leukocytes","NFr","Pt","Body fld","Qn","Manual count","HEM/BC"
"BEFORE","13527-7","Unidentified cells/100 leukocytes","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"CHANGED","13527-7","Unidentified cells/Leukocytes","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"BEFORE","13528-5","Unidentified cells/100 leukocytes","NFr","Pt","Body fld","Qn","Manual count","HEM/BC"
"CHANGED","13528-5","Unidentified cells/Leukocytes","NFr","Pt","Body fld","Qn","Manual count","HEM/BC"
"BEFORE","13595-4","Basophils/100 leukocytes","NFr","Pt","Nose","Qn","","HEM/BC"
"CHANGED","13595-4","Basophils/Leukocytes","NFr","Pt","Nose","Qn","","HEM/BC"
"BEFORE","13597-0","Neutrophils/100 leukocytes","NFr","Pt","Nose","Qn","","HEM/BC"
"CHANGED","13597-0","Neutrophils/Leukocytes","NFr","Pt","Nose","Qn","","HEM/BC"
"BEFORE","13599-6","Promonocytes/100 leukocytes","NFr","Pt","Bld","Qn","Manual count","HEM/BC"
"CHANGED","13599-6","Promonocytes/Leukocytes","NFr","Pt","Bld","Qn","Manual count","HEM/BC"
"BEFORE","13668-9","2-Ethyl-3-Hydroxypropionate/Creatinine","MRto","Pt","Urine","Qn","","CHEM"
"CHANGED","13668-9","2-Ethylhydracrylate/Creatinine","MRto","Pt","Urine","Qn","","CHEM"
"BEFORE","13835-4","Monocytes/100 leukocytes","NFr","Pt","Periton fld","Qn","Manual count","HEM/BC"
"CHANGED","13835-4","Monocytes/Leukocytes","NFr","Pt","Periton fld","Qn","Manual count","HEM/BC"
"BEFORE","13836-2","Neutrophils/100 leukocytes","NFr","Pt","Periton fld","Qn","Manual count","HEM/BC"
"CHANGED","13836-2","Neutrophils/Leukocytes","NFr","Pt","Periton fld","Qn","Manual count","HEM/BC"
"BEFORE","13837-0","Blasts.CD10/100 blasts","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13837-0","Blasts.CD10/Blasts","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13838-8","Blasts.CD13/100 blasts","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13838-8","Blasts.CD13/Blasts","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13839-6","Blasts.CD14/100 blasts","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13839-6","Blasts.CD14/Blasts","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13840-4","Blasts.CD19/100 blasts","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13840-4","Blasts.CD19/Blasts","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13841-2","Blasts.CD2/100 blasts","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13841-2","Blasts.CD2/Blasts","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13842-0","Blasts.CD20/100 blasts","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13842-0","Blasts.CD20/Blasts","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13843-8","Blasts.CD33/100 blasts","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13843-8","Blasts.CD33/Blasts","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13844-6","Blasts.CD34/100 blasts","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13844-6","Blasts.CD34/Blasts","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13845-3","Blasts.CD5/100 blasts","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13845-3","Blasts.CD5/Blasts","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13846-1","Blasts.CD7/100 blasts","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13846-1","Blasts.CD7/Blasts","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13847-9","Blasts.terminal deoxyribonucleotidyl transferase/100 blasts","NFr","Pt","Bld","Qn","Immunoperoxidase stain","CELLMARK"
"CHANGED","13847-9","Blasts.terminal deoxyribonucleotidyl transferase/Blasts","NFr","Pt","Bld","Qn","Immunoperoxidase stain","CELLMARK"
"BEFORE","13851-1","Cells.CD5+CD25+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","13851-1","Cells.CD5+CD25+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","13941-0","Lymphocytes/100 leukocytes","NFr","Pt","Body fld","Qn","Manual count","HEM/BC"
"CHANGED","13941-0","Lymphocytes/Leukocytes","NFr","Pt","Body fld","Qn","Manual count","HEM/BC"
"BEFORE","14017-8","Cells.CD22/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","14017-8","Cells.CD22/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","14018-6","Cells.CD23/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","14018-6","Cells.CD23/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","14039-2","Neutrophils/100 leukocytes","NFr","Pt","CSF","Qn","Microscopy","HEM/BC"
"CHANGED","14039-2","Neutrophils/Leukocytes","NFr","Pt","CSF","Qn","Microscopy","HEM/BC"
"BEFORE","14107-7","Neutrophils.segmented/100 leukocytes","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"CHANGED","14107-7","Neutrophils.segmented/Leukocytes","NFr","Pt","CSF","Qn","Manual count","HEM/BC"
"BEFORE","14109-3","Cells.CD16c+CD56+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","14109-3","Cells.CD16c+CD56+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","14112-7","Cells.CD25+CD19+/100 cells","NFr","Pt","Bld","Qn","","CELLMARK"
"CHANGED","14112-7","Cells.CD25+CD19+/Cells","NFr","Pt","Bld","Qn","","CELLMARK"
"BEFORE","14132-5","Color","Type","Pt","Gast fld","Nom","","SPEC"
"CHANGED","14132-5","Observation","Color","Pt","Gast fld","Nom","","SPEC"
"BEFORE","14194-5","Spermatozoa.progressive/100 spermatozoa","NFr","Pt","Semen","Qn","","FERT"
"CHANGED","14194-5","Spermatozoa.progressive/Spermatozoa","NFr","Pt","Semen","Qn","","FERT"
"BEFORE","14226-5","Nocardia sp identified","Prid","Pt","Isolate","Nom","Organism specific culture","MICRO"
"CHANGED","14226-5","Nocardia sp","Prid","Pt","Isolate","Nom","Organism specific culture","MICRO"
"BEFORE","14228-1","Cells.estrogen receptor/100 cells","NFr","Pt","Tiss","Qn","Immune stain","PATH"
"CHANGED","14228-1","Cells.estrogen receptor/Cells","NFr","Pt","Tiss","Qn","Immune stain","PATH"
"BEFORE","14230-7","Cells.progesterone receptor/100 cells","NFr","Pt","Tiss","Qn","Immune stain","PATH"
"CHANGED","14230-7","Cells.progesterone receptor/Cells","NFr","Pt","Tiss","Qn","Immune stain","PATH"
"BEFORE","14326-3","Eosinophils/100 leukocytes","NFr","Pt","Stool","Qn","Manual count","HEM/BC"
"CHANGED","14326-3","Eosinophils/Leukocytes","NFr","Pt","Stool","Qn","Manual count","HEM/BC"
"BEFORE","14330-5","Polymorphonuclear cells/100 leukocytes","NFr","Pt","Stool","Qn","Manual count","HEM/BC"
"CHANGED","14330-5","Granulocytes/Leukocytes","NFr","Pt","Stool","Qn","Manual count","HEM/BC"
"BEFORE","14343-8","Eosinophils/100 leukocytes","NFr","Pt","Periton fld","Qn","Manual count","HEM/BC"
"CHANGED","14343-8","Eosinophils/Leukocytes","NFr","Pt","Periton fld","Qn","Manual count","HEM/BC"
"BEFORE","14344-6","Eosinophils/100 leukocytes","NFr","Pt","Plr fld","Qn","Manual count","HEM/BC"
"CHANGED","14344-6","Eosinophils/Leukocytes","NFr","Pt","Plr fld","Qn","Manual count","HEM/BC"
"BEFORE","14345-3","Specific gravity","Rden","Pt","Amnio fld","Qn","Refractometry","CHEM"
"CHANGED","14345-3","Observation","SpGrav","Pt","Amnio fld","Qn","Refractometry","CHEM"
"BEFORE","14346-1","Specific gravity","Rden","Pt","CSF","Qn","Refractometry","CHEM"
"CHANGED","14346-1","Observation","SpGrav","Pt","CSF","Qn","Refractometry","CHEM"
"BEFORE","14347-9","Specific gravity","Rden","Pt","Gast fld","Qn","Refractometry","CHEM"
"CHANGED","14347-9","Observation","SpGrav","Pt","Gast fld","Qn","Refractometry","CHEM"
"BEFORE","14348-7","Specific gravity","Rden","Pt","Periton fld","Qn","Refractometry","CHEM"
"CHANGED","14348-7","Observation","SpGrav","Pt","Periton fld","Qn","Refractometry","CHEM"
"BEFORE","14349-5","Specific gravity","Rden","Pt","Plr fld","Qn","Refractometry","CHEM"
"CHANGED","14349-5","Observation","SpGrav","Pt","Plr fld","Qn","Refractometry","CHEM"
"BEFORE","14350-3","Specific gravity","Rden","Pt","Synv fld","Qn","Refractometry","CHEM"
"CHANGED","14350-3","Observation","SpGrav","Pt","Synv fld","Qn","Refractometry","CHEM"
"BEFORE","14351-1","Specific gravity","Rden","Pt","Stool","Qn","Refractometry","CHEM"
"CHANGED","14351-1","Observation","SpGrav","Pt","Stool","Qn","Refractometry","CHEM"
"BEFORE","14352-9","Specific gravity","Rden","Pt","Water","Qn","Refractometry","CHEM"
"CHANGED","14352-9","Observation","SpGrav","Pt","Water","Qn","Refractometry","CHEM"
"BEFORE","14374-3","Polymorphonuclear cells/100 leukocytes","NFr","Pt","Plr fld","Qn","Manual count","HEM/BC"
"CHANGED","14374-3","Granulocytes/Leukocytes","NFr","Pt","Plr fld","Qn","Manual count","HEM/BC"
"BEFORE","14375-0","Polymorphonuclear cells/100 leukocytes","NFr","Pt","Periton fld","Qn","Manual count","HEM/BC"
"CHANGED","14375-0","Granulocytes/Leukocytes","NFr","Pt","Periton fld","Qn","Manual count","HEM/BC"
"BEFORE","14376-8","Polymorphonuclear cells/100 leukocytes","NFr","Pt","Synv fld","Qn","Manual count","HEM/BC"
"CHANGED","14376-8","Granulocytes/Leukocytes","NFr","Pt","Synv fld","Qn","Manual count","HEM/BC"
"BEFORE","14377-6","Polymorphonuclear cells/100 leukocytes","NFr","Pt","Semen","Qn","Manual count","HEM/BC"
"CHANGED","14377-6","Granulocytes/Leukocytes","NFr","Pt","Semen","Qn","Manual count","HEM/BC"
"BEFORE","14378-4","Polymorphonuclear cells/100 leukocytes","NFr","Pt","Urine","Qn","Manual count","HEM/BC"
"CHANGED","14378-4","Granulocytes/Leukocytes","NFr","Pt","Urine","Qn","Manual count","HEM/BC"
"BEFORE","14379-2","Polymorphonuclear cells/100 leukocytes","NFr","Pt","Gast fld","Qn","Manual count","HEM/BC"
"CHANGED","14379-2","Granulocytes/Leukocytes","NFr","Pt","Gast fld","Qn","Manual count","HEM/BC"
"BEFORE","14380-0","Mononuclear cells/100 leukocytes","NFr","Pt","Plr fld","Qn","Manual count","HEM/BC"
"CHANGED","14380-0","Mononuclear cells/Leukocytes","NFr","Pt","Plr fld","Qn","Manual count","HEM/BC"
"BEFORE","14381-8","Mononuclear cells/100 leukocytes","NFr","Pt","Periton fld","Qn","Manual count","HEM/BC"
"CHANGED","14381-8","Mononuclear cells/Leukocytes","NFr","Pt","Periton fld","Qn","Manual count","HEM/BC"
"BEFORE","14382-6","Mononuclear cells/100 leukocytes","NFr","Pt","Synv fld","Qn","Manual count","HEM/BC"
"CHANGED","14382-6","Mononuclear cells/Leukocytes","NFr","Pt","Synv fld","Qn","Manual count","HEM/BC"
"BEFORE","14383-4","Mononuclear cells/100 leukocytes","NFr","Pt","Semen","Qn","Manual count","HEM/BC"
"CHANGED","14383-4","Mononuclear cells/Leukocytes","NFr","Pt","Semen","Qn","Manual count","HEM/BC"
"BEFORE","14384-2","Mononuclear cells/100 leukocytes","NFr","Pt","Urine sed","Qn","Manual count","UA"
"CHANGED","14384-2","Mononuclear cells/Leukocytes","NFr","Pt","Urine sed","Qn","Manual count","UA"
"BEFORE","14385-9","Mononuclear cells/100 leukocytes","NFr","Pt","Gast fld","Qn","Manual count","HEM/BC"
"CHANGED","14385-9","Mononuclear cells/Leukocytes","NFr","Pt","Gast fld","Qn","Manual count","HEM/BC"
"BEFORE","14451-9","Virus identified","Prid","Pt","Eye","Nom","Culture","MICRO"
"CHANGED","14451-9","Virus","Prid","Pt","Eye","Nom","Culture","MICRO"
"BEFORE","14452-7","Virus identified","Prid","Pt","Cvx","Nom","Culture","MICRO"
"CHANGED","14452-7","Virus","Prid","Pt","Cvx","Nom","Culture","MICRO"
"BEFORE","14453-5","Virus identified","Prid","Pt","Vag","Nom","Culture","MICRO"
"CHANGED","14453-5","Virus","Prid","Pt","Vag","Nom","Culture","MICRO"
"BEFORE","14454-3","Virus identified","Prid","Pt","Nose","Nom","Culture","MICRO"
"CHANGED","14454-3","Virus","Prid","Pt","Nose","Nom","Culture","MICRO"
"BEFORE","14455-0","Virus identified","Prid","Pt","Plr fld","Nom","Culture","MICRO"
"CHANGED","14455-0","Virus","Prid","Pt","Plr fld","Nom","Culture","MICRO"
"BEFORE","14456-8","Virus identified","Prid","Pt","Periton fld","Nom","Culture","MICRO"
"CHANGED","14456-8","Virus","Prid","Pt","Periton fld","Nom","Culture","MICRO"
"BEFORE","14457-6","Virus identified","Prid","Pt","Urine","Nom","Culture","MICRO"
"CHANGED","14457-6","Virus","Prid","Pt","Urine","Nom","Culture","MICRO"
"BEFORE","14458-4","Virus identified","Prid","Pt","Sputum","Nom","Culture","MICRO"
"CHANGED","14458-4","Virus","Prid","Pt","Sputum","Nom","Culture","MICRO"
"BEFORE","14459-2","Virus identified","Prid","Pt","Penis","Nom","Culture","MICRO"
"CHANGED","14459-2","Virus","Prid","Pt","Penis","Nom","Culture","MICRO"
"BEFORE","14460-0","Virus identified","Prid","Pt","Urethra","Nom","Culture","MICRO"
"CHANGED","14460-0","Virus","Prid","Pt","Urethra","Nom","Culture","MICRO"
"BEFORE","14479-0","Diphtheria sp identified","Prid","Pt","Thrt","Nom","Organism specific culture","MICRO"
"CHANGED","14479-0","Diphtheria sp","Prid","Pt","Thrt","Nom","Organism specific culture","MICRO"
"BEFORE","14480-8","Diphtheria sp identified","Prid","Pt","Sputum","Nom","Organism specific culture","MICRO"
"CHANGED","14480-8","Diphtheria sp","Prid","Pt","Sputum","Nom","Organism specific culture","MICRO"
"BEFORE","14481-6","Diphtheria sp identified","Prid","Pt","Nose","Nom","Organism specific culture","MICRO"
"CHANGED","14481-6","Diphtheria sp","Prid","Pt","Nose","Nom","Organism specific culture","MICRO"
"BEFORE","14482-4","Diphtheria sp identified","Prid","Pt","Skin","Nom","Organism specific culture","MICRO"
"CHANGED","14482-4","Diphtheria sp","Prid","Pt","Skin","Nom","Organism specific culture","MICRO"
"BEFORE","14483-2","Diphtheria sp identified","Prid","Pt","Bronchial","Nom","Organism specific culture","MICRO"
"CHANGED","14483-2","Diphtheria sp","Prid","Pt","Bronchial","Nom","Organism specific culture","MICRO"
"BEFORE","14488-1","Virus identified","Prid","Pt","CSF","Nom","IF","MICRO"
"CHANGED","14488-1","Virus","Prid","Pt","CSF","Nom","IF","MICRO"
"BEFORE","14489-9","Virus identified","Prid","Pt","Bld","Nom","IF","MICRO"
"CHANGED","14489-9","Virus","Prid","Pt","Bld","Nom","IF","MICRO"
"BEFORE","14490-7","Virus identified","Prid","Pt","Semen","Nom","IF","MICRO"
"CHANGED","14490-7","Virus","Prid","Pt","Semen","Nom","IF","MICRO"
"BEFORE","14491-5","Virus identified","Prid","Pt","Thrt","Nom","IF","MICRO"
"CHANGED","14491-5","Virus","Prid","Pt","Thrt","Nom","IF","MICRO"
"BEFORE","14492-3","Virus identified","Prid","Pt","Eye","Nom","IF","MICRO"
"CHANGED","14492-3","Virus","Prid","Pt","Eye","Nom","IF","MICRO"
"BEFORE","14493-1","Virus identified","Prid","Pt","Cvx","Nom","IF","MICRO"
"CHANGED","14493-1","Virus","Prid","Pt","Cvx","Nom","IF","MICRO"
"BEFORE","14494-9","Virus identified","Prid","Pt","Vag","Nom","IF","MICRO"
"CHANGED","14494-9","Virus","Prid","Pt","Vag","Nom","IF","MICRO"
"BEFORE","14495-6","Virus identified","Prid","Pt","Urine sed","Nom","IF","MICRO"
"CHANGED","14495-6","Virus","Prid","Pt","Urine sed","Nom","IF","MICRO"
"BEFORE","14496-4","Virus identified","Prid","Pt","Sputum","Nom","IF","MICRO"
"CHANGED","14496-4","Virus","Prid","Pt","Sputum","Nom","IF","MICRO"
"BEFORE","14497-2","Virus identified","Prid","Pt","Penis","Nom","IF","MICRO"
"CHANGED","14497-2","Virus","Prid","Pt","Penis","Nom","IF","MICRO"
"BEFORE","14498-0","Virus identified","Prid","Pt","Urethra","Nom","IF","MICRO"
"CHANGED","14498-0","Virus","Prid","Pt","Urethra","Nom","IF","MICRO"
"BEFORE","14514-4","Pneumocystis jiroveci Ag","PrThr","Pt","Bld","Ord","IF","MICRO"
"CHANGED","14514-4","Pneumocystis jirovecii Ag","PrThr","Pt","Bld","Ord","IF","MICRO"
"BEFORE","14515-1","Pneumocystis jiroveci Ag","PrThr","Pt","CSF","Ord","IF","MICRO"
"CHANGED","14515-1","Pneumocystis jirovecii Ag","PrThr","Pt","CSF","Ord","IF","MICRO"
"BEFORE","14516-9","Pneumocystis jiroveci Ag","PrThr","Pt","Semen","Ord","IF","MICRO"
"CHANGED","14516-9","Pneumocystis jirovecii Ag","PrThr","Pt","Semen","Ord","IF","MICRO"
"BEFORE","14517-7","Pneumocystis jiroveci Ag","PrThr","Pt","Stool","Ord","IF","MICRO"
"CHANGED","14517-7","Pneumocystis jirovecii Ag","PrThr","Pt","Stool","Ord","IF","MICRO"
"BEFORE","14518-5","Pneumocystis jiroveci Ag","PrThr","Pt","Thrt","Ord","IF","MICRO"
"CHANGED","14518-5","Pneumocystis jirovecii Ag","PrThr","Pt","Thrt","Ord","IF","MICRO"
"BEFORE","14519-3","Pneumocystis jiroveci Ag","PrThr","Pt","Eye","Ord","IF","MICRO"
"CHANGED","14519-3","Pneumocystis jirovecii Ag","PrThr","Pt","Eye","Ord","IF","MICRO"
"BEFORE","14520-1","Pneumocystis jiroveci Ag","PrThr","Pt","Nose","Ord","IF","MICRO"
"CHANGED","14520-1","Pneumocystis jirovecii Ag","PrThr","Pt","Nose","Ord","IF","MICRO"
"BEFORE","14521-9","Pneumocystis jiroveci Ag","PrThr","Pt","Urine","Ord","IF","MICRO"
"CHANGED","14521-9","Pneumocystis jirovecii Ag","PrThr","Pt","Urine","Ord","IF","MICRO"
"BEFORE","14522-7","Pneumocystis jiroveci Ag","PrThr","Pt","Bronchial","Ord","IF","MICRO"
"CHANGED","14522-7","Pneumocystis jirovecii Ag","PrThr","Pt","Bronchial","Ord","IF","MICRO"
"BEFORE","14604-3","Blood group antibodies identified","Prid","Pt","Ser/Plas^BPU","Nom","","BLDBK"
"CHANGED","14604-3","Blood group antibodies","Prid","Pt","Ser/Plas^BPU","Nom","","BLDBK"
"BEFORE","14605-0","Blood group antibodies identified","Prid","Pt","Ser/Plas^Donor","Nom","","BLDBK"
"CHANGED","14605-0","Blood group antibodies","Prid","Pt","Ser/Plas^Donor","Nom","","BLDBK"
"BEFORE","14606-8","Blood group antibody screen","PrThr","Pt","Ser/Plas","Ord","Prewarmed","BLDBK"
"CHANGED","14606-8","Blood group antibody","PrThr","Pt","Ser/Plas","Ord","Blood group antibody screen.Prewarmed","BLDBK"
"BEFORE","14617-5","Appearance","Aper","Pt","Pericard fld","Nom","","SPEC"
"CHANGED","14617-5","Observation","Aper","Pt","Pericard fld","Nom","","SPEC"
"BEFORE","14618-3","Appearance","Aper","Pt","Calculus","Nom","","SPEC"
"CHANGED","14618-3","Observation","Aper","Pt","Calculus","Nom","","SPEC"
"BEFORE","14619-1","Appearance","Aper","Pt","Plas","Nom","","SPEC"
"CHANGED","14619-1","Observation","Aper","Pt","Plas","Nom","","SPEC"
"BEFORE","14620-9","Appearance","Aper","Pt","Plr fld","Nom","","SPEC"
"CHANGED","14620-9","Observation","Aper","Pt","Plr fld","Nom","","SPEC"
"BEFORE","14621-7","Appearance","Aper","Pt","Periton fld","Nom","","SPEC"
"CHANGED","14621-7","Observation","Aper","Pt","Periton fld","Nom","","SPEC"
"BEFORE","14625-8","Basophils/100 leukocytes","NFr","Pt","Bronchial","Qn","Manual count","HEM/BC"
"CHANGED","14625-8","Basophils/Leukocytes","NFr","Pt","Bronchial","Qn","Manual count","HEM/BC"
"BEFORE","14660-5","Color","Type","Pt","Periton fld","Nom","","SPEC"
"CHANGED","14660-5","Observation","Color","Pt","Periton fld","Nom","","SPEC"
"BEFORE","14661-3","Color","Type","Pt","Pericard fld","Nom","","SPEC"
"CHANGED","14661-3","Observation","Color","Pt","Pericard fld","Nom","","SPEC"
"BEFORE","14662-1","Color","Type","Pt","Plr fld","Nom","","SPEC"
"CHANGED","14662-1","Observation","Color","Pt","Plr fld","Nom","","SPEC"
"BEFORE","14664-7","Color","Type","Pt","Synv fld","Nom","","SPEC"
"CHANGED","14664-7","Observation","Color","Pt","Synv fld","Nom","","SPEC"
"BEFORE","14709-0","Eosinophils/100 leukocytes","NFr","Pt","Bronchial","Qn","Manual count","HEM/BC"
"CHANGED","14709-0","Eosinophils/Leukocytes","NFr","Pt","Bronchial","Qn","Manual count","HEM/BC"
"BEFORE","14773-6","Granulocytes/100 leukocytes","NFr","Pt","Bronchial","Qn","Manual count","HEM/BC"
"CHANGED","14773-6","Granulocytes/Leukocytes","NFr","Pt","Bronchial","Qn","Manual count","HEM/BC"
"BEFORE","14787-6","Arthropod identified","Prid","Pt","XXX","Nom","Perm mount","MICRO"
"CHANGED","14787-6","Arthropod","Prid","Pt","XXX","Nom","Perm mount","MICRO"
"BEFORE","14788-4","Helminth+Arthropod identified","Prid","Pt","XXX","Nom","Rearing/Culture","MICRO"
