"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"94508-9","","","","","","","","","","SARS-CoV-2-AK IgM ql.","SARS-CoV-2 Antikörper IgM qualitativ"
"1007-4","","","","","","","","","","DCT polyspez.","Direkter Coombs Test polyspezifisch"
"1008-2","","","","","","","","","","ICT polyspez.","Indirekter Coombs Test polyspezifisch"
"10189-9","","","","","","","","","","Kommentar Befund","Kommentar Befund"
"10328-3","","","","","","","","","","Lymphozyten rel. mikr. /L","Lymphozyten rel. mikr. /Liquor"
"10329-1","","","","","","","","","","Monozyten rel. mikr. /L","Monozyten rel. mikr. /Liquor"
"10331-7","","","","","","","","","","Rhesusfaktor","Rhesusfaktor"
"10333-3","","","","","","","","","","Liquoraspekt","Liquoraspekt"
"10334-1","","","","","","","","","","CA 125","CA 125"
"51573-4","","","","","","","","","","IgE t215 Birkenkomponente RAST","Birke rBet v1 IgE RAST"
"51574-2","","","","","","","","","","IgE t216 Birkenkomponente, Profilin RAST","Birke rBet v2 (Profilin) IgE RAST"
"51575-9","","","","","","","","","","IgE t220 Birkenkomponente (rBet v4) RAST","Birke rBet v4 IgE RAST"
"51578-3","","","","","","","","","","Chlamydia trach.DNA /Ejakulat PCR","Chlamydia trachomatis-DNA /Ejakulat PCR"
"51579-1","","","","","","","","","","Normoblast. rel. /KM","Normoblasten rel. /Knochenmark"
"51580-9","","","","","","","","","","Makrophagen rel./KM","Makrophagen rel. /Knochenmark"
"51581-7","","","","","","","","","","Sonst.Zellen rel./KM","Sonstige Zellen rel. /Knochemark"
"6133-3","","","","","","","","","","IgE i72 Sudanfliege","IgE i72 Sudanfliege"
"6134-1","","","","","","","","","","IgE e6 Meerschweinchenepithelien","Meerschweinchenepithelien IgE"
"6135-8","","","","","","","","","","IgE e84 Hamsterepithelien","Hamsterepithelien IgE"
"6136-6","","","","","","","","","","IgE f17 Haselnuss","Haselnuss (nativ+Cor a 1, Corylus avellana) IgE"
"61369-5","","","","","","","","","","Listeria monocytogenes DNA /SM PCR","Listeria monocytogenes DNA /Sondermaterial PCR"
"6137-4","","","","","","","","","","IgE t4 Hasel","Hasel Pollen IgE"
"6138-2","","","","","","","","","","IgE m8 Helminthosporium halodes","IgE m8 Helminthosporium halodes"
"6139-0","","","","","","","","","","IgE f205 Hering","IgE f205 Hering"
"61406-5","","","","","","","","","","Blutgr.-AK Titer","Blutgruppen-Antikörper Titer"
"6141-6","","","","","","","","","","IgE f324 Hopfen","IgE f324 Hopfen"
"6143-2","","","","","","","","","","IgE e3 Pferdeepithelien","Pferdeschuppen IgE"
"65770-0","","","","","","","","","","IgE Erdnuss Arah2","Erdnuss nAra h 2 IgE Qn"
"65771-8","","","","","","","","","","IgE Erdnuss Arah3","Erdnuss nAra h 3 IgE Qn"
"65772-6","","","","","","","","","","IgE f432 Sojabohnenkomponente","Sojabohne nGly m 6 IgE Qn"
"65773-4","","","","","","","","","","IgE Buchweizen Fage2","Buchweizen Fage2 IgE Qn"
"65774-2","","","","","","","","","","IgE Weizen nTriaATI","Weizen TriaA IgE Qn"
"65775-9","","","","","","","","","","IgE g216 Hundszahngraskomponente (nCyn d1)","Hundszahngras nCyn d 1 IgE Qn"
"65777-5","","","","","","","","","","IgE Japan.Zeder Cr1","Japanische Zeder nCry j 1 IgE Qn"
"65778-3","","","","","","","","","","IgE t226 Zypressenkomponente (nCup a1)","Arizona Zypresse nCup a 1 IgE Qn"
"675-9","","","","","","","","","","Oxyureneier/Abklatschpräparat","Oxyureneier/Abklatschpräparat"
"6768-6","","","","","","","","","","Alk.Phosphatase (AP)","Alkalische Phosphatase (AP)"
"6774-4","","","","","","","","","","Desaethylamiodaron","Desaethylamiodaron"
"6779-3","","","","","","","","","","IgA /U","IgA /Urin"
"6781-9","","","","","","","","","","IgG /U","IgG /Urin"
"67829-2","","","","","","","","","","Eosinophile Granulozyten abs. /PPK","Eosinophile Granulozyten abs. /Perikardpunktat"
"67837-5","","","","","","","","","","Zellzahl /BAL","Zellzahl /BAL"
"6784-3","","","","","","","","","","IgM /U","IgM /Urin"
"67848-2","","","","","","","","","","Leukozyten Clumps /US ql.","Leukozyten Clumps /US ql."
"6800-7","","","","","","","","","","Gesamtmob./SP.rel","Spermien Gesamtmobilität relativ"
"69570-0","","","","","","","","","","ROMA Index postmeno.","ROMA Index postmenopausal"
"69577-5","","","","","","","","","","HEV RNA PCR","HEV-RNA PCR"
"6968-2","","","","","","","","","","PR3-AK","PR3-Antikörper"
"6969-0","","","","","","","","","","MPO-AK","MPO-Antikörper"
"698-1","","","","","","","","","","Neisseria gonorrhoeae Kultur /SM","Neisseria gonorrhoeae Kultur /Sondermaterial"
"69920-7","","","","","","","","","","Adenovirus-Antikörper IgA qual.","Adenovirus-Antikörper IgA qual."
"69922-3","","","","","","","","","","fx73 Fleischmix","fx73 Fleischmix"
"69923-1","","","","","","","","","","FSME-Virus-AK IgM ql.","FSME-Virus-AK IgM qualitativ"
"69924-9","","","","","","","","","","FSME-Virus-AK IgM ql. /L","FSME-Virus-AK IgM qualitativ /Liquor"
"69926-4","","","","","","","","","","FSME-Virus-AK IgG ql.","FSME-Virus-AK IgG qualitativ"
"71373-5","","","","","","","","","","IgE sx1 Inhalationsscreening","IgE sx1 Inhalationsscreening"
"714-6","","","","","","","","","","Eosinoph.Gr.rel. mi.","Eosinophile Granulozyten rel. mikr."
"7147-2","","","","","","","","","","IgE w210 Zuckerrübe","IgE w210 Zuckerrübe"
"7151-4","","","","","","","","","","IgE f211 Brombeere","IgE f211 Brombeere"
"7152-2","","","","","","","","","","IgE f288 Heidelbeere","IgE f288 Heidelbeere"
"7155-5","","","","","","","","","","IgE t1 Ahorn","Ahorn Pollen IgE"
"7160-5","","","","","","","","","","IgE f217 Kohlsprossen","IgE f217 Kohlsprossen"
"71689-4","","","","","","","","","","Mononukleäre Zellen abs. /Körperflüssigkeit","Mononukleäre Zellen abs. /Körperflüssigkeit"
"71693-6","","","","","","","","","","Thrombozyten retikuliert Fraktion","Thrombozyten retikuliert Fraktion"
"71695-1","","","","","","","","","","Granulozyten unreif rel.","Granulozyten unreif relativ"
"7169-6","","","","","","","","","","IgE f216 Kohl","IgE f216 Kohl"
"72646-3","","","","","","","","","","Albumin Serum/Perikardpunktat-Differenz","Albumin Serum/Perikardpunktat-Differenz"
"7265-2","","","","","","","","","","IgE f320 Flußkrebs (Astacus astacus)","IgE f320 Flußkrebs (Astacus astacus)"
"7270-2","","","","","","","","","","IgE f281 Curry (Santa Maria)","Curry (Santa Maria) IgE"
"72724-8","","","","","","","","","","PM-Scl-75 IgG AK","PM-Scl-75 IgG Antikörper"
"7275-1","","","","","","","","","","IgE t214 Dattelpalme","IgE t214 Dattelpalme"
"7278-5","","","","","","","","","","IgG d1 Dermatophag. pteronyssinus","IgG d1 Dermatophag. pteronyssinus"
"7280-1","","","","","","","","","","IgE f277 Dill","Dill IgE"
"72821-2","","","","","","","","","","Kreatinin U-Exkr./xh","Kreatinin Urinexkretion /x Stunden"
"72835-2","","","","","","","","","","Raltegravir","Raltegravir"
"728-6","","","","","","","","","","Hypochromasie ql.mi.","Hypochromasie qual. mikr."
"7474-0","","","","","","","","","","IgE f206 Makrele","IgE f206 Makrele"
"74751-9","","","","","","","","","","Urinprobe Entnahmezeitpunkt","Urinprobe Entnahmezeitpunkt"
"74755-0","","","","","","","","","","PlGF","Placental Growth Factor (PlGF)"
"74756-8","","","","","","","","","","sFlt-1","Soluble Vascular Endothelial GF-Receptor (sFlt-1)"
"74757-6","","","","","","","","","","sFlt-1/PlGF ratio","sFlt-1/PlGF ratio"
"74775-8","","","","","","","","","","Thrombozyten /PRP","Thrombozyten /PRP"
"74792-3","","","","","","","","","","Fructose Dosis","Fructose Dosis"
"74803-8","","","","","","","","","","Lactose-Atemtest Befundinterpretation","Lactose-Atemtest Befundinterpretation"
"74804-6","","","","","","","","","","Kommentar H2-Fructose-Atemtest","Kommentar H2-Fructose-Atemtest"
"74807-9","","","","","","","","","","Lösl.Trf-R/Ferr.-Rto","Löslicher Transferrin-Rezeptor / Ferritin-Ratio"
"74814-5","","","","","","","","","","Zentroblasten rel. manuelle Zählung","Zentroblasten rel. manuelle Zählung"
"74820-2","","","","","","","","","","Zentrozyten rel. manuelle Zählung","Zentrozyten rel. manuelle Zählung"
"7642-2","","","","","","","","","","IgE f213 Kaninchen","IgE f213 Kaninchen"
"76474-6","","","","","","","","","","Ghrelin","Ghrelin"
"7656-2","","","","","","","","","","IgE f343 Himbeere","IgE f343 Himbeere"
"76575-0","","","","","","","","","","Bakterielle 16S rRNA ql. /SM PCR","Bakterielle 16S rRNA ql. /Sondermaterial PCR"
"765-8","","","","","","","","","","Hypersegment. ql.mi.","Hypersegmentierung d. Neutr. Granuloz. qual. mikr."
"7661-2","","","","","","","","","","IgE f381 Red Snapper","IgE f381 Red Snapper"
"76651-9","","","","","","","","","","Zink Transporter 8 AK","Zink Transporter 8 Antikörper"
"7674-5","","","","","","","","","","IgE f5 Roggen","Roggen IgE"
"76772-3","","","","","","","","","","Plasmodium falciparum AG /B IA ql.","Plasmodium falciparum Antigen /Blut IA qualitativ"
"7678-6","","","","","","","","","","IgE f344 Salbei","IgE f344 Salbei"
"768-2","","","","","","","","","","Segmentkern. abs.mi.","Segmentkernige abs. mikr."
"7689-3","","","","","","","","","","IgE k206 Savinase","IgE k206 Savinase"
"769-0","","","","","","","","","","Segmentkern. rel.mi.","Segmentkernige rel. mikr."
"7966-5","","","","","","","","","","Mumpsv. AK IgG qn.","Mumpsvirus-Antikörper IgG quant."
"7967-3","","","","","","","","","","Mumpsv. AK IgM qn.","Mumpsvirus-Antikörper IgM quant."
"7970-7","","","","","","","","","","Mycoplasma pn. AK IgG qn.","Mycoplasma pneumoniae Antikörper IgG quant."
"7981-4","","","","","","","","","","Parvovirus-B19-AK IgM ql.","Parvovirus-B19-Antikörper IgM qualitativ"
"7983-0","","","","","","","","","","Parvovirus AK IgG qn.","Parvovirus-Antikörper IgG quant."
"7984-8","","","","","","","","","","Parvovirus AK IgM qn.","Parvovirus-Antikörper IgM quant."
"799-7","","","","","","","","","","Erythrozyten /U","Erythrozyten /U"
"800-3","","","","","","","","","","Fragmentozyt. ql.mi.","Fragmentozyten qual. mikr."
"801-1","","","","","","","","","","Sichelzellen ql. mi.","Sichelzellen qual. mikr."
"8014-3","","","","","","","","","","Rötelnv. AK IgG qn.","Rötelnvirus-Antikörper IgG qn."
"82614-9","","","","","","","","","","IgE i217 Bienengiftkomponente Icarapin V2 RAST","Biene rApi m10 IgE R"
"82734-5","","","","","","","","","","AMPAR1-AK IgG ql.","AMPAR1-Antikörper IgG qualitativ"
"82735-2","","","","","","","","","","AMPAR1-AK IgG ql. /L","AMPAR1-Antikörper IgG qualitativ /Liquor"
"82977-0","","","","","","","","","","GABAR-AK IgG ql.","GABAR-Antikörper IgG qualitativ"
"82978-8","","","","","","","","","","LGI1-AK IgG ql.","LGI1-Antikörper IgG qualitativ"
"82979-6","","","","","","","","","","CASPR2-AK ql.","CASPR2-Antikörper qualitativ"
"82980-4","","","","","","","","","","AMPAR2-AK IgG ql.","AMPAR2-Antikörper IgG qualitativ"
"82981-2","","","","","","","","","","NMDAR-AK IgG ql.","NMDAR-Antikörper IgG qualitativ"
"82984-6","","","","","","","","","","GABAR-AK IgG ql. /L","GABAR-Antikörper IgG qualitativ /Liquor"
"82985-3","","","","","","","","","","LGI1-AK IgG ql. /L","LGI1-Antikörper IgG qualitativ /Liquor"
"9820-2","","","","","","","","","","Cryptococcus spp. AG Titer","Cryptococcus spp. Antigen Titer"
"9828-5","","","","","","","","","","IgE h1 Hausstaub Greer Labs","IgE h1 Hausstaub Greer Labs"
"9830-1","","","","","","","","","","Chol./HDL-Ch.-Ratio","Cholesterin/HDL-Cholesterin-Ratio"
"9838-4","","","","","","","","","","LKM-AK Ti.IF","LKM-Antikörper Titer IF"
"11525-3","","","","","","","","","","Geburtshilfliche Ultraschalluntersuchung","Geburtshilfliche Ultraschalluntersuchung"
"51582-5","","","","","","","","","","Anisochromas.ql.mi.","Anisochromasie qual. mikr."
"51583-3","","","","","","","","","","Anulozyten ql. mi.","Anulozyten qual. mikr."
"51584-1","","","","","","","","","","Gran., unreife abs.","Granulozyten, unreife abs."
"51585-8","","","","","","","","","","Sonstige Zel.abs.mi.","Sonstige Zellen abs. mikr."
"51586-6","","","","","","","","","","Sonstige Zel.rel.mi.","Sonstige Zellen rel. mikr."
"51587-4","","","","","","","","","","Plasmodien ql. mikr.","Plasmodien qual. mikr."
"51588-2","","","","","","","","","","Granulozyten abs.mi.","Granulozyten abs. mikr."
"51589-0","","","","","","","","","","Dyserythrop. ql.mi.","Dyserythropoese qual. mikr."
"51590-8","","","","","","","","","","Chlorid Kap.","Chlorid Kapillarblut"
"51628-6","","","","","","","","","","KM-Befundinterpr.","Knochenmarksbefundinterpretation"
"51629-4","","","","","","","","","","Makroblast. rel. /KM","Makroblasten rel. /Knochenmark"
"51630-2","","","","","","","","","","Fragmentozyt.rel.mi.","Fragmentozyten rel. mikr."
"51631-0","","","","","","","","","","PDW-CV","PDW (Thrombozyten-Verteilungsbreite)-CV"
"51632-8","","","","","","","","","","Retik.Thromboz.abs.","Retikulierte Thrombozyten abs."
"51633-6","","","","","","","","","","Retik.Thromboz.rel.","Retikulierte Thrombozyten rel."
"51634-4","","","","","","","","","","Reti,mittelreif abs.","Retikulozyten, mittelreif abs."
"51635-1","","","","","","","","","","Reti., reif abs.","Retikulozyten, reif abs."
"51636-9","","","","","","","","","","IRF(Ret.,unreif)abs.","IRF (Retikulozyten, unreif) abs."
"51637-7","","","","","","","","","","Thrombokrit","Thrombokrit"
"51638-5","","","","","","","","","","Ery.aggregate ql.mi.","Erythrozytenaggregate qual. mikr."
"51639-3","","","","","","","","","","Akanthozyten rel.mi.","Akanthozyten rel. mikr."
"51640-1","","","","","","","","","","Thro.anisozyt.ql.mi.","Thrombozytenanisozytose qual. mikr."
"51642-7","","","","","","","","","","HLSc-Reti. rel.","HLR (High Light Scatter Retics) rel."
"51643-5","","","","","","","","","","HLSc-Reti. abs.","HLR (High light scatter retics) abs."
"51644-3","","","","","","","","","","Megakar.kerne ql.mi.","Megakaryozytenkerne qual. mikr."
"64984-8","","","","","","","","","","IgE D.Küchensch.Blg5","Deutsche Küchenschabe rBla g 5 IgE Qn"
"64985-5","","","","","","","","","","IgE Heringswurm Ans1","Heringswurm rAni s 1 IgE Qn"
"64986-3","","","","","","","","","","IgE Heringswurm Ans3","Heringswurm rAni s 3 IgE Qn"
"6509-4","","","","","","","","","","Neisseria meningitidis rRNA /Liquor PCR","Neisseria meningitidis rRNA /Liquor PCR"
"6521-9","","","","","","","","","","Pneumocystis jiroveci DNA /SM ql. PCR","Pneumocystis jiroveci DNA /Sondermaterial ql. PCR"
"652-8","","","","","","","","","","Ziehl-Neelsen Färbung /U","Ziehl-Neelsen Färbung /Urin"
"65352-7","","","","","","","","","","Proinsulin Abnahme 2","Proinsulin Abnahme 2"
"65353-5","","","","","","","","","","Proinsulin Abnahme 3","Proinsulin Abnahme 3"
"65354-3","","","","","","","","","","Proinsulin Abnahme 4","Proinsulin Abnahme 4"
"65355-0","","","","","","","","","","Proinsulin Abnahme 5","Proinsulin Abnahme 5"
"65356-8","","","","","","","","","","Proinsulin Abnahme 6","Proinsulin Abnahme 6"
"65357-6","","","","","","","","","","Proinsulin Abnahme 7","Proinsulin Abnahme 7"
"65358-4","","","","","","","","","","Proinsulin Abnahme 8","Proinsulin Abnahme 8"
"653-6","","","","","","","","","","Gramfärbung /U","Gramfärbung /Urin"
"6562-3","","","","","","","","","","Trep.pall. AK IgM","Treponema pallidum-Antikörper IgM"
"656-9","","","","","","","","","","Ziehl-Neelsen Färbung","Ziehl-Neelsen Färbung"
"65764-3","","","","","","","","","","IgE Kiwi nActd5","Kiwi nAct d 5 IgE Qn"
"65765-0","","","","","","","","","","IgE f440 Haselnusskomponente","Haselnuss nCor a 9 IgE Qn"
"65766-8","","","","","","","","","","IgE f441 Walnusskomponente, 2S Albumin (rJug r1)","Walnuss Jugr1 IgE Qn"
"65767-6","","","","","","","","","","IgE Walnuss Jugr2","Walnuss Jugr2 IgE Qn"
"65768-4","","","","","","","","","","IgE f442 Walnusskomponente, nsLTP (rJug r3)","Walnuss Jugr3 IgE Qn"
"65769-2","","","","","","","","","","IgE Erdnuss Arah1","Erdnuss nAra h 1 IgE Qn"
"6144-0","","","","","","","","","","IgE i204 Pferdebremse","IgE i204 Pferdebremse"
"6147-3","","","","","","","","","","IgE c71 Insulin Rind","IgE c71 Insulin Rind"
"6148-1","","","","","","","","","","IgE c73 Insulin Human","IgE c73 Insulin Human"
"6149-9","","","","","","","","","","IgE c70 Insulin Schwein","IgE c70 Insulin Schwein"
"6150-7","","","","","","","","","","IgE k72 Ispaghula","IgE k72 Ispaghula"
"6151-5","","","","","","","","","","IgE t23 Zypresse","IgE t23 Zypresse"
"6152-3","","","","","","","","","","IgE g10 Hirse","IgE g10 Hirse"
"6153-1","","","","","","","","","","IgE g8 Wiesenrispengras","Wiesenrispengras Pollen IgE"
"6154-9","","","","","","","","","","IgE f84 Kiwi Frucht","Kiwi Frucht IgE"
"6155-6","","","","","","","","","","IgE f88 Lamm-/Hammelfleisch","IgE f88 Lamm-/Hammelfleisch"
"6156-4","","","","","","","","","","IgE w10 Weißer Gänsefuß","Weißer Gänsefuß Pollen IgE"
"6158-0","","","","","","","","","","IgE k82 Latex Hevea braziliensis","Latex Hevea braziliensis (nativ+Hev b5) IgE"
"6159-8","","","","","","","","","","IgE f208 Zitrone","Zitrone IgE"
"6160-6","","","","","","","","","","IgE d71 Lepidoglyphus destr.","IgE d71 Lepidoglyphus destr."
"6161-4","","","","","","","","","","IgE f215 Kopfsalat","IgE f215 Kopfsalat"
"6164-8","","","","","","","","","","IgE t218 Virginia Eiche","IgE t218 Virginia Eiche"
"6165-5","","","","","","","","","","IgE f80 Hummer","Hummer IgE"
"6166-3","","","","","","","","","","IgE f90 Malz (gekeimtes Korn)","IgE f90 Malz (gekeimtes Korn)"
"6167-1","","","","","","","","","","IgE f91 Mango","Mango IgE"
"6169-7","","","","","","","","","","IgE g4 Wiesenschwingel","Wiesenschwingel Pollen IgE"
"6170-5","","","","","","","","","","IgE g16 Wiesenfuchsschwanz","IgE g16 Wiesenfuchsschwanz"
"6171-3","","","","","","","","","","IgE t21 Melaleuch leucandendron","IgE t21 Melaleuch leucandendron"
"6173-9","","","","","","","","","","IgE t20 Mesquitbaum","IgE t20 Mesquitbaum"
"51645-0","","","","","","","","","","Mikromegakary.ql.mi.","Mikromegakaryozyten qual. mikr."
"51669-0","","","","","","","","","","Humanes Parechovirus RNA ql. /PCR SM","Humanes Parechovirus RNA PCR ql. /Sondermaterial"
"51679-9","","","","","","","","","","17-Hydroxy-Progesteron stimuliert Abnahme 6","17-Hydroxy-Progesteron stimuliert Abnahme 6"
"51680-7","","","","","","","","","","17-Hydroxy-Progesteron stimuliert Abnahme 1","17-Hydroxy-Progesteron stimuliert Abnahme 1"
"51681-5","","","","","","","","","","17-Hydroxy-Progesteron stimuliert Abnahme 7","17-Hydroxy-Progesteron stimuliert Abnahme 7"
"51693-0","","","","","","","","","","Albumin /PPK","Albumin /Perikardpunktat"
"51699-7","","","","","","","","","","Endomysium IgG-AK IF Ti.","Endomysium IgG-Antikörper IF Titer"
"51701-1","","","","","","","","","","Ganglioside-AK IgG Immunoblot","Ganglioside-AK IgG Immunoblot"
"51702-9","","","","","","","","","","Ganglioside-AK IgM Immunoblot","Ganglioside-AK IgM Immunoblot"
"5170-6","","","","","","","","","","Gliadin-AK IgG","Gliadin-Antikörper IgG"
"51714-4","","","","","","","","","","Giemsa-Färbung","Giemsa-Färbung"
"51715-1","","","","","","","","","","AMA-M2 EIA","AMA-M2 EIA"
"51723-5","","","","","","","","","","Pilzkultur ql.","Pilzkultur qualitativ"
"6174-7","","","","","","","","","","IgE f43 Milcheiweiß","Milcheiweiß IgE f43"
"6175-4","","","","","","","","","","IgE f55 Rispenhirse","IgE f55 Rispenhirse"
"6177-0","","","","","","","","","","IgE i71 Stechmücke","Stechmücke IgE"
"6178-8","","","","","","","","","","IgE t6 Sadebaum","IgE t6 Sadebaum"
"6179-6","","","","","","","","","","IgE e71 Mausepithelien","IgE e71 Mausepithelien"
"6180-4","","","","","","","","","","IgE e76 Mausserumprotein","IgE e76 Mausserumprotein"
"6181-2","","","","","","","","","","IgE e72 Mausurinprotein","IgE e72 Mausurinprotein"
"6182-0","","","","","","","","","","IgE m4 Mucor racemosus","Mucor racemosus (Trauben-Kopfschimmel) IgE"
"6183-8","","","","","","","","","","IgE w6 Beifuß","Beifuß Pollen IgE"
"6185-3","","","","","","","","","","IgE f89 Senf","IgE f89 Senf"
"6186-1","","","","","","","","","","IgE w20 Brennnessel","Brennnessel P. IgE"
"6188-7","","","","","","","","","","IgE Rf282 Muskatnuss","IgE Rf282 Muskatnuß"
"6189-5","","","","","","","","","","IgE t7 Eiche","Eiche Pollen IgE"
"51747-4","","","","","","","","","","Borrelien AK Interpretation","Borrelien-Antikörper Interpretation"
"51769-8","","","","","","","","","","Glucose 120 min nach Fructosebelastung","Glucose 120 min nach Fructosebelastung"
"51780-5","","","","","","","","","","HIV1-RNA PCR log","HIV1-RNA PCR log"
"51799-5","","","","","","","","","","ADA /PG","ADA /Gelenkspunktat"
"51803-5","","","","","","","","","","Fibrillarin Ti.IF","Fibrillarin Titer IF (Scl 34)"
"5181-3","","","","","","","","","","HAV-Antikörper IgM quantitativ","HAV-Antikörper IgM quantitativ"
"5183-9","","","","","","","","","","HAV-Antikörper quantitativ","HAV-Antikörper quantitativ"
"5185-4","","","","","","","","","","HBV c-Antikörper IgM quantitativ","HBV c-Antikörper IgM quantitativ"
"51856-3","","","","","","","","","","IgE m226 Staphyloc. enterotoxin TSST","IgE m226 Staphyloc. enterotoxin TSST"
"51857-1","","","","","","","","","","IgE m227 Malassezia spp.","IgE m227 Malassezia spp."
"51858-9","","","","","","","","","","IgG Wellensitt. qualitativ","Wellensitt. IgG ql."
"51859-7","","","","","","","","","","IgG Tauben qualitativ","Tauben IgG ql."
"51860-5","","","","","","","","","","IgG Papagei qualitativ","Papagei IgG ql."
"51861-3","","","","","","","","","","IgG gmx6 Schimmelpilzmischung (m1, m2, m4, m6)","IgG gmx6 Schimmelpilzmischung (m1, m2, m4, m6)"
"51865-4","","","","","","","","","","Plasmodien-AG Interpretation","Plasmodien-Antigen Interpretation"
"5187-0","","","","","","","","","","HBV c-Antikörper quantitativ","HBV c-Antikörper quantitativ"
"51892-8","","","","","","","","","","Blutgruppe AB0 /BCO","Blutgruppe AB0 /Nabelschnurblut"
"51924-9","","","","","","","","","","ANCA Titer IF","ANCA Titer IF"
"5195-3","","","","","","","","","","HBV s-AG","HBV s-Antigen"
"5198-7","","","","","","","","","","HCV-Antikörper quantitativ","HCV-Antikörper quantitativ"
"5199-5","","","","","","","","","","HCV-Antikörper Immunoblot","HCV-Antikörper Immunoblot"
"5204-3","","","","","","","","","","Herpes simplex AK Ti. KBR","Herpes simplex-Virus-Antikörper Titer KBR"
"52132-8","","","","","","","","","","BCR-ABL Translokation (9,22) e1a2 Ratio","BCR-ABL Translokation (9,22) e1a2 Ratio"
"52133-6","","","","","","","","","","dRVVT 1+2 NP","dRVVT 1+2 Normalplasma"
"52134-4","","","","","","","","","","aPTT Lupus-s. 1+2 NP","aPTT Lupus-sensitiv 1+2 Normalplasma"
"5223-3","","","","","","","","","","HIV-Antikörper 1+2 quantitativ","HIV-Antikörper 1+2 quantitativ"
"5228-2","","","","","","","","","","Zirkulierende Immunkomplexe","Zirkulierende Immunkomplexe"
"5232-4","","","","","","","","","","Insulin Auto-AK","Insulin Auto-Antikörper"
"52418-1","","","","","","","","","","Medikation","Medikation"
"5243-1","","","","","","","","","","Masern AK Ti. KBR","Masernvirus-Antikörper Titer KBR"
"52435-5","","","","","","","","","","Therapieangabe","Therapieangabe"
"5247-2","","","","","","","","","","AMA Ti.IF","AMA Titer IF"
"5249-8","","","","","","","","","","Mumps AK Ti. KBR","Mumpsvirus-Antikörper Titer KBR"
"5254-8","","","","","","","","","","Mycoplasma pn. AK Ti.KBR","Mycoplasma pneumoniae Antikörper Titer KBR"
"5256-3","","","","","","","","","","Mycoplasma pneumoniae AK IgM IA","Mycoplasma pneumoniae Antikörper IgM IA"
"5260-5","","","","","","","","","","Herzmuskel AK Ti. IF","Herzmuskel-Antikörper Titer IF"
"5271-2","","","","","","","","","","GPA(Parietalzell)-AK Ti.IF","GPA(Parietalzell)-Antikörper Titer IF"
"52750-7","","","","","","","","","","APC-Resistenz (qual.)","APC-Resistenz (qual.)"
"52751-5","","","","","","","","","","aPTT Fakt.-sens.","aPTT Faktoren-sensitiv"
"52752-3","","","","","","","","","","Normotest /KB","Normotest /Kapillarblut"
"52753-1","","","","","","","","","","Normotest","Normotest"
"52754-9","","","","","","","","","","HMWK Aktivität","Hochmolekulares Kininogen Aktivität"
"52755-6","","","","","","","","","","LA-Bestät. aPTT ql.","Lupus-Anticoagulans Bestätigungstest aPTT ql."
"52756-4","","","","","","","","","","LA-Bestät. dRVVT ql.","Lupus-Anticoagulans Bestätigungstest dRVVT ql."
"52757-2","","","","","","","","","","PAI-1 Mut. 675 4G/5G","Plasminogenaktivator-Inhibitor-1 Mut. 675 4G/5G"
"52758-0","","","","","","","","","","PAI-1 Mut. 844A>G","Plasminogenaktivator-Inhibitor-1 Mutation 844A>G"
"52759-8","","","","","","","","","","Präkallikrein Akt.","Präkallikrein Aktivität"
"52760-6","","","","","","","","","","PTZ n. Owren /KB","PTZ nach Owren /Kapillarblut"
"52761-4","","","","","","","","","","PTZ n. Owren","PTZ nach Owren"
"52766-3","","","","","","","","","","Prot.C Pwy(V-d.Pl.)","Protein C Pathway (V-def. Plasma)"
"52767-1","","","","","","","","","","Protein C Pathw.","Protein C Pathway"
"52768-9","","","","","","","","","","Clot Form.Time NATEM","Clot Forming Time NATEM"
"52769-7","","","","","","","","","","Clot Formation Time APTEM","Clot Formation Time APTEM"
"6190-3","","","","","","","","","","IgE f7 Hafer","Hafer IgE"
"6192-9","","","","","","","","","","IgE t9 Olive","IgE t9 Olive"
"6193-7","","","","","","","","","","IgE f48 Zwiebel","Zwiebel IgE"
"6194-5","","","","","","","","","","IgE f33 Orange","Orange IgE"
"6195-2","","","","","","","","","","IgE g3 Knäuelgras","Knäuelgras Pollen IgE"
"6196-0","","","","","","","","","","IgE w7 Margerite","IgE w7 Margerite"
"6198-6","","","","","","","","","","IgE i4 Papierwespe","Papierwespe IgE"
"6199-4","","","","","","","","","","IgE w21 Ästiges Glaskraut","Aest.Glaskraut P.IgE"
"6200-0","","","","","","","","","","IgE w19 Aufrechtes Glaskraut","Aufr.Glaskraut P.IgE"
"6202-6","","","","","","","","","","IgE e213 Papageienfedern","IgE e213 Papageienfedern"
"6203-4","","","","","","","","","","IgE f86 Petersilie","Petersilie IgE"
"6204-2","","","","","","","","","","IgE f12 Erbse","Erbse IgE"
"6205-9","","","","","","","","","","IgE f95 Pfirsich","Pfirsich IgE"
"6206-7","","","","","","","","","","IgE f13 Erdnuss","Erdnuss IgE"
"6207-5","","","","","","","","","","IgE f94 Birne","Birne IgE"
"6208-3","","","","","","","","","","IgE f201 Pecannuss","IgE f201 Pecannuß"
"6209-1","","","","","","","","","","IgE t22 Nordamerik. Walnussbaum","IgE t22 Nordamerik. Walnußbaum"
"6210-9","","","","","","","","","","IgE c2 Penicilloyl V","Penicilloyl V IgE"
